MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir3pm,WindSpeed3pm,Pressure3pm,Cloud3pm,Temp3pm,RainToday,RainTomorrow,AveHumidity,DifHumidity
5.1,14.3,0,1.8,8.9,NW,30,SSE,6,1022.2,1,13.3,No,No,56,18
19.7,26.2,0,7.2,7.2,SSE,41,SSE,31,1021.9,4,24.4,No,No,49,-2
16.6,28,0,9,11.3,SW,54,SW,33,1014.9,1,26.1,No,No,45.5,9
15.7,27.3,0,11.2,5.6,N,65,SW,13,995.5,7,18.5,No,Yes,73,-26
9.8,23.9,0,4.4,10.5,SE,35,NNE,13,1013.9,4,23,No,No,41,24
23.6,30.1,0,11.4,10.8,E,57,E,41,1018,2,27.9,No,No,50.5,5
8.5,22.9,1.4,4.2,12.5,SSW,41,SSE,19,1022.1,2,22.1,Yes,No,51.5,21
8.7,20.9,0,2.8,9.5,S,19,SSE,11,1020.8,2,20,No,No,69.5,51
16.4,28,1,5,1.7,WSW,65,W,37,1008.5,8,16.4,No,Yes,67.5,-57
12.1,20.9,0,4.4,6.9,E,37,E,30,1006.4,6,18.3,No,No,64.5,15
13.2,19.8,0,4.6,11.3,S,37,SE,20,1021.9,2,18.9,No,No,54,6
11,23.1,0,5,12.5,S,35,ESE,13,1017.2,1,22.4,No,No,58.5,19
9,21.5,0,7,9.1,NE,46,NNE,17,1018.6,7,20.6,No,No,45.5,7
24.9,33.2,0,7.2,8,E,48,E,22,1008.6,7,32.2,No,No,60.5,11
18.8,33.7,0,8,13.5,SSE,52,ENE,9,1007.3,5,32.4,No,Yes,47.5,31
4,16,0,2,6.9,WNW,46,W,31,1024.1,4,15.2,No,No,59.5,19
14.3,38.2,0,12,13,WSW,48,WSW,28,1006.5,1,31.8,No,No,14,-6
16.3,37.2,0,9.6,9.6,WNW,56,WNW,30,1008.1,7,36,No,No,18.5,9
14.2,16.4,11.6,0.6,0,S,72,S,35,1009.6,8,13,Yes,Yes,93.5,1
12.8,26.4,0,5.8,10.7,NNE,20,N,11,1009.2,1,25.5,No,No,54.5,13
17.8,25.1,0,1.8,1.6,E,39,ESE,24,1009,7,24.1,No,No,81,24
4.1,26.1,0,5.2,11.1,E,31,S,13,1019.5,0,25.5,No,No,18.5,15
10.7,25.2,0,10.4,10.6,ESE,50,SE,28,1017.1,6,24.6,No,No,25,22
21.5,25.4,28,7,0,ESE,44,S,20,1007,8,22.5,Yes,Yes,95,0
5.5,18.7,0,5,10.6,NE,33,N,13,1020.6,1,17.8,No,No,38,22
8,15.6,5.6,1.6,5.4,NW,57,W,13,1012.2,3,15.6,Yes,No,71,14
12.8,19.3,13.2,1.8,3.6,SSW,46,SSW,26,1014.9,7,17.6,Yes,No,63.5,17
22.8,33.4,0,6.8,7.6,ESE,46,ENE,22,1008.4,3,32.8,No,No,52.5,25
13.4,30.1,0,4,10.5,SSW,31,W,15,1005.7,1,28.4,No,No,43.5,19
16.9,24.3,3.6,4.4,12,WNW,46,W,26,1008.5,1,23.5,Yes,No,42.5,31
13.4,19.8,14.8,2,5.1,NW,81,WNW,35,1006.4,8,15,Yes,Yes,76.5,-29
9.8,15.8,0,3,9.8,W,41,S,19,1016.1,1,15.5,No,No,45,10
19.3,28.1,0,16,7.4,SSW,46,SSW,24,1008.8,4,24.9,No,No,20,12
14.6,18.3,2.8,6.6,0.2,N,56,SSW,31,1015.7,7,16.4,Yes,Yes,72.5,-1
26.9,42.5,0,15.2,10.9,NW,48,N,15,1008.5,3,41.4,No,No,13,8
9.6,25.8,0,4.6,12.1,SSW,33,W,13,1016,2,24.1,No,No,46,32
15.8,20.8,7,2.4,0.8,N,50,N,26,1010.9,8,19.9,Yes,Yes,82,16
22,26,0.8,15.8,10.6,NNW,43,SSW,17,1015.2,5,25,No,No,59,4
22.7,40.4,0,16.4,12.8,NE,44,E,11,1007.7,1,37.9,No,No,34.5,35
19.2,31.7,0.4,5.4,9.4,E,35,NE,13,1014.1,6,31.5,No,No,47.5,23
23.6,30.6,11.6,1.6,7.8,E,44,E,28,1007.6,7,29.3,Yes,No,70.5,21
3.5,14.8,0.8,2,10.3,NNW,46,NNW,19,1008.5,3,14.4,No,No,48.5,19
12.6,20,0,6.4,8.9,SSE,43,S,22,1016.5,6,18.6,No,No,59,20
-1,11,0,1.6,1.2,NNW,43,NNW,20,1014.2,8,8.9,No,Yes,82.5,7
13.2,23.8,0,5.8,13.3,SSW,43,WSW,20,1009.2,6,21.7,No,No,44,22
12.5,25,0,6.4,10.7,SSE,31,E,17,1014.1,4,23.9,No,No,45,2
16.3,36.2,0,10,12.5,SE,39,ESE,13,1011.2,0,34.8,No,No,14.5,9
16.5,30.4,0,10.4,6.9,SE,37,E,11,1013.3,3,29.1,No,No,43.5,27
14.6,34.7,0,6.6,10.1,WNW,43,NW,17,1004.2,6,34.1,No,No,28,28
12.2,17.5,0,3.6,3.1,ESE,56,ESE,30,1018.1,7,16.4,No,No,70.5,-3
23,37,0,7.6,11.9,W,33,WSW,11,1003.1,5,36.3,No,No,26.5,21
15.3,37.3,0,10.2,12.2,NW,43,WSW,24,1012,1,36.3,No,No,9,4
7.1,11.6,0.4,4.2,9.5,NE,44,NE,24,1014.2,8,10.1,No,Yes,87,-14
4.4,13.3,1.8,1.2,6.8,SW,31,WSW,13,1030.1,4,13,Yes,No,68,40
10.6,15,11,3.6,6.6,S,46,S,24,1019.6,8,13.4,Yes,No,60.5,-13
19.2,30.2,0,7.4,11.3,SE,44,SE,24,1011,2,29.1,No,No,54,6
10.9,19.8,1.6,3.2,6.2,NW,39,WNW,20,1012.9,6,17.2,Yes,No,82,24
20.4,27.9,0,7,1.5,NE,22,ENE,11,1014,7,26.7,No,No,67,6
3.7,17.2,0,3,6.1,NNW,57,N,26,1006.7,7,16.2,No,Yes,58,34
8,28.5,0,9,11.9,E,54,ESE,20,1016.2,0,27.5,No,No,8.5,5
12.5,15.7,7.8,2.2,6,W,48,WSW,28,1017.9,6,15.1,Yes,No,79.5,33
13.5,28.3,0,5.6,10.8,E,35,ENE,9,1024.3,0,28.1,No,No,43.5,29
23.6,32.2,0,6.2,11,SSE,22,NE,17,1003.9,1,30.9,No,No,68,2
19.3,24.5,0,3.6,9.5,E,37,ESE,22,1015,1,23.4,No,No,66,14
14.3,20.5,0,4.4,9.8,SSW,57,SW,28,1007.7,2,19.7,No,No,43.5,7
10.5,20.9,0,11.4,9.3,WSW,69,WSW,39,1008.9,7,18.8,No,No,40.5,23
14.2,30.3,0,7.8,6.1,SSW,30,SSW,11,1009.6,5,30.2,No,No,34,24
22.5,33.7,0,12,10.8,ENE,37,E,24,1011.9,2,31.5,No,No,66.5,15
20.2,23.7,0,5.4,1.7,NE,54,NE,33,1011.1,8,22,No,Yes,71.5,-13
5.3,26,0,6.2,10.1,SSW,37,ENE,19,1013.3,7,24.1,No,No,38.5,31
12.8,24.9,0,2.4,6.2,ENE,30,SW,7,1019.3,6,24.2,No,No,60,32
9.7,31.6,0,6,12.9,SSW,20,SSW,15,1016.5,0,29.4,No,No,52.5,47
16.6,26.5,0,4.6,11.7,ENE,26,ENE,9,1016,6,24.2,No,No,56,0
4.3,23.2,0.2,3.2,10.4,NNE,41,N,22,1021.1,1,22.6,No,No,66.5,47
9.3,14.7,0,1.6,4.1,W,19,SSW,7,1022.4,6,14.6,No,No,63,16
8,17.5,0,1.2,0,SE,13,SW,7,1020.5,6,17.1,No,No,50.5,23
23.3,32.9,30.6,7,11.3,WNW,28,WNW,15,1006.1,2,32.1,Yes,No,61,20
7.6,16.5,0,5,10,W,35,WNW,13,1018.9,0,16.2,No,No,39.5,19
12.6,18.9,0,1.8,3.5,NNE,44,N,28,1023.7,7,17.8,No,No,62.5,17
20.5,26.3,0,4,10.7,SSW,43,SW,20,1009.2,2,24.4,No,No,68,18
14.1,28.5,0,7.8,4.4,E,52,NNE,9,1013.3,7,27.1,No,No,40,20
18.6,41.5,0,18.2,10.3,SSE,46,WNW,13,1009.4,4,39.9,No,No,14.5,5
19,21.1,16.4,10.6,0.2,W,89,E,20,1004.8,8,20.4,Yes,Yes,95.5,1
6.7,16.4,3.2,1,7,NW,24,SE,9,1025.3,3,13.8,Yes,Yes,73.5,19
14.4,33.5,0,6,10.5,SW,54,NW,17,1014.8,6,32.8,No,No,54.5,51
14.1,25.3,0.2,1.8,10.5,E,20,E,13,1020.7,1,24.2,No,No,69,6
1.3,14.5,0,1.2,8.9,S,24,SSE,13,1029.7,1,14,No,No,62,60
12.4,21.2,0.8,3.2,6.3,S,22,S,11,1023.7,2,19.3,No,No,86.5,27
13.4,21.9,0,9.6,11.2,SE,50,SSE,22,1024.3,0,21.1,No,No,34,18
3.7,13.7,0,1,8.3,SSE,24,SE,11,1034,4,12.8,No,No,72.5,21
24.4,35.4,0.2,8.2,3.9,WSW,61,SSE,19,1007.3,8,24.9,No,Yes,90,-10
25.2,35.8,0.4,6.4,11.1,ENE,39,E,17,1005.5,6,34.7,No,Yes,56,22
11,19.3,17.8,11.8,1.4,S,48,WSW,17,1002,7,17.1,Yes,Yes,87,12
13.2,17,0,3.6,5,SE,39,SE,15,1019.9,2,16.2,No,No,55,0
13.4,29.1,0,6,11.1,SSE,39,SE,22,1012.3,5,28.7,No,No,44.5,25
9,16.1,0,1.8,3.8,SE,39,SE,24,1030.6,5,15.4,No,No,75.5,23
21.4,30.2,0,6.4,8.3,NNE,41,ENE,17,1011.1,5,28.9,No,No,65,12
18.5,31.5,0,9.4,3.1,N,46,NNE,24,1010.3,7,29.5,No,No,44.5,27
9.7,14.5,13.4,1.2,4.7,SW,54,SW,33,999.9,3,12.8,Yes,Yes,70,8
13.5,22.9,0.4,3.4,11.9,E,46,E,28,1024.3,1,22,No,No,59.5,15
15.7,37.8,0,12.4,13,E,74,E,9,1013.8,1,37,No,No,16.5,21
2.4,15,0.2,1,1.6,N,24,NNE,7,1009.2,7,12.8,No,Yes,85,28
15.8,27.7,0,5.4,10.5,SSE,26,SE,13,1015.6,0,26.7,No,No,56,26
8.5,21.4,0,4.6,7.8,W,65,WNW,37,1013.9,6,20.1,No,No,65.5,23
5.8,23,0,5.8,10.5,ESE,37,ESE,19,1017.3,5,22.4,No,No,28.5,15
